Year;Sector;Pollutant;RepShare;CalcShare
2005;GROUP_Agriculture;1;0.00000;1.00000
2005;GROUP_Agriculture;3;0.00000;1.00000
2005;GROUP_Agriculture;5;0.00000;1.00000
2005;GROUP_Agriculture;7;0.00000;1.00000
2005;GROUP_Agriculture;8;0.00000;1.00000
2005;GROUP_Agriculture;12;0.00000;1.00000
2005;GROUP_Agriculture;13;0.00000;1.00000
2005;GROUP_Agriculture;14;0.00000;1.00000
2005;GROUP_Agriculture;15;0.00000;1.00000
2005;GROUP_Agriculture;16;0.00000;1.00000
2005;GROUP_Agriculture;17;0.00000;1.00000
2005;GROUP_Agriculture;18;0.00000;1.00000
2005;GROUP_Agriculture;19;0.00000;1.00000
2005;GROUP_Agriculture;22;0.00000;1.00000
2005;GROUP_Agriculture;25;0.00000;1.00000
2005;GROUP_Agriculture;27;0.00000;1.00000
2005;GROUP_Agriculture;28;0.00000;1.00000
2005;GROUP_Agriculture;29;0.00000;1.00000
2005;GROUP_Agriculture;37;0.00000;1.00000
2005;GROUP_Agriculture;38;0.00000;1.00000
2005;GROUP_Agriculture;43;0.00000;1.00000
2005;GROUP_OtherComb;1;0.00000;1.00000
2005;GROUP_OtherComb;3;0.00000;1.00000
2005;GROUP_OtherComb;4;0.00000;1.00000
2005;GROUP_OtherComb;5;0.00000;1.00000
2005;GROUP_OtherComb;6;0.00660;0.99340
2005;GROUP_OtherComb;7;0.00000;1.00000
2005;GROUP_OtherComb;8;0.00000;1.00000
2005;GROUP_OtherComb;10;0.00000;1.00000
2005;GROUP_OtherComb;11;0.00000;1.00000
2005;GROUP_OtherComb;12;0.00000;1.00000
2005;GROUP_OtherComb;13;0.00000;1.00000
2005;GROUP_OtherComb;14;0.00261;0.99739
2005;GROUP_OtherComb;15;0.00000;1.00000
2005;GROUP_OtherComb;16;0.00648;0.99352
2005;GROUP_OtherComb;17;0.00000;1.00000
2005;GROUP_OtherComb;18;0.00073;0.99927
2005;GROUP_OtherComb;19;0.00000;1.00000
2005;GROUP_OtherComb;22;0.01550;0.98450
2005;GROUP_OtherComb;25;0.00000;1.00000
2005;GROUP_OtherComb;26;0.00000;1.00000
2005;GROUP_OtherComb;27;0.00399;0.99601
2005;GROUP_OtherComb;28;0.00000;1.00000
2005;GROUP_OtherComb;29;0.00000;1.00000
2005;GROUP_OtherComb;30;0.00721;0.99279
2005;GROUP_OtherComb;31;0.00411;0.99589
2005;GROUP_OtherComb;37;0.00000;1.00000
2005;GROUP_OtherComb;38;0.00000;1.00000
2005;GROUP_OtherComb;39;0.00000;1.00000
2005;GROUP_OtherComb;40;0.00000;1.00000
2005;GROUP_OtherComb;43;0.00000;1.00000
2005;GROUP_OtherComb;44;0.00000;1.00000
2005;GROUP_PowerIndustry;1;0.35137;0.64863
